2024-10-10 02:27:39 - [2024-10-10 02:27:39] The monster Monstruo 92702101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:23:53 - [2024-10-10 10:23:53] The monster Monstruo 222310101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:23:53 - [2024-10-10 10:23:53] The monster Monstruo 312310101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 10:23:53 - [2024-10-10 10:23:53] The monster Monstruo 382310101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:25:19 - [2024-10-10 10:25:19] The monster Monstruo 12510101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:25:19 - [2024-10-10 10:25:19] The monster Monstruo 42510101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:26:11 - [2024-10-10 10:26:11] The monster Monstruo 262510101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:26:11 - [2024-10-10 10:26:11] The monster Monstruo 322510101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:26:51 - [2024-10-10 10:26:51] The monster Monstruo 12610101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:27:34 - [2024-10-10 10:27:34] The monster Monstruo 72710101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 10:28:08 - [2024-10-10 10:28:08] The monster Monstruo 402710101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 192810101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:44:03 - [2024-10-10 10:44:03] The monster Monstruo 394310101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:52:20 - [2024-10-10 10:52:20] The monster Monstruo 575110101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:52:20 - [2024-10-10 10:52:20] The monster Monstruo 65210101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:56:25 - [2024-10-10 10:56:25] The monster Monstruo 125510101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:01:45 - [2024-10-10 11:01:45] The monster Monstruo 340011101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 11:14:52 - [2024-10-10 11:14:52] The monster Monstruo 361411101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:14:52 - [2024-10-10 11:14:52] The monster Monstruo 371411101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:24:16 - [2024-10-10 11:24:16] The monster Monstruo 522311101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:25:05 - [2024-10-10 11:25:05] The monster Monstruo 182411101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:41:23 - [2024-10-10 11:41:23] The monster Monstruo 64111101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:44:46 - [2024-10-10 11:44:46] The monster Monstruo 504311101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 11:48:16 - [2024-10-10 11:48:16] The monster Monstruo 534711101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 11:53:37 - [2024-10-10 11:53:37] The monster Monstruo 215311101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:53:37 - [2024-10-10 11:53:37] The monster Monstruo 225311101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 11:56:41 - [2024-10-10 11:56:41] The monster Monstruo 205611101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:01:47 - [2024-10-10 12:01:47] The monster Monstruo 420012101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:09:59 - [2024-10-10 12:09:59] The monster Monstruo 350912101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:10:40 - [2024-10-10 12:10:40] The monster Monstruo 181012101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:12:00 - [2024-10-10 12:12:00] The monster Monstruo 371112101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:12:00 - [2024-10-10 12:12:00] The monster Monstruo 471112101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
