2024-10-10 03:10:23 - [2024-10-10 03:10:23] MonsterMonstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:12:13 - [2024-10-10 03:12:13] MonsterMonstruo 91203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 03:12:15 - [2024-10-10 03:12:15] MonsterMonstruo 121203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 03:12:27 - [2024-10-10 03:12:27] MonsterMonstruo 251203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 03:12:35 - [2024-10-10 03:12:35] MonsterMonstruo 351203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 03:12:39 - [2024-10-10 03:12:39] MonsterMonstruo 391203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 51203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 61203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 81203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 91203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 121203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 251203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 351203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 391203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 03:12:53 - [2024-10-10 03:12:53] MonsterMonstruo 401203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 03:12:55 - [2024-10-10 03:12:55] MonsterMonstruo 411203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 03:12:57 - [2024-10-10 03:12:57] MonsterMonstruo 561203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 03:12:59 - [2024-10-10 03:12:59] MonsterMonstruo 581203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 03:13:03 - [2024-10-10 03:13:03] MonsterMonstruo 31303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:13:09 - [2024-10-10 03:13:09] MonsterMonstruo 91303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 03:13:15 - [2024-10-10 03:13:15] MonsterMonstruo 141303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 03:13:19 - [2024-10-10 03:13:19] MonsterMonstruo 191303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 401203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 411203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 561203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 581203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 31303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 91303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 141303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 191303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 03:13:42 - [2024-10-10 03:13:42] MonsterMonstruo 401303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 1.
2024-10-10 03:13:46 - [2024-10-10 03:13:46] MonsterMonstruo 441303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 03:13:52 - [2024-10-10 03:13:52] MonsterMonstruo 501303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 03:13:56 - [2024-10-10 03:13:56] MonsterMonstruo 541303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 03:13:58 - [2024-10-10 03:13:58] MonsterMonstruo 551303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 03:14:06 - [2024-10-10 03:14:06] MonsterMonstruo 51403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 03:14:08 - [2024-10-10 03:14:08] MonsterMonstruo 61403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 03:14:10 - [2024-10-10 03:14:10] MonsterMonstruo 71403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 401303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 441303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 501303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 541303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 551303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 3.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 51403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 3.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 61403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 71403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 03:14:24 - [2024-10-10 03:14:24] MonsterMonstruo 111403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:14:26 - [2024-10-10 03:14:26] MonsterMonstruo 251403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 03:14:32 - [2024-10-10 03:14:32] MonsterMonstruo 311403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 03:14:48 - [2024-10-10 03:14:48] MonsterMonstruo 461403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 03:14:50 - [2024-10-10 03:14:50] MonsterMonstruo 471403101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 03:15:02 - [2024-10-10 03:15:02] MonsterMonstruo 1503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:15:06 - [2024-10-10 03:15:06] MonsterMonstruo 41503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 03:15:08 - [2024-10-10 03:15:08] MonsterMonstruo 61503101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 111403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 251403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 311403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 461403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 471403101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 1503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 41503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 61503101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 03:15:24 - [2024-10-10 03:15:24] MonsterMonstruo 221503101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:15:28 - [2024-10-10 03:15:28] MonsterMonstruo 261503101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 03:15:30 - [2024-10-10 03:15:30] MonsterMonstruo 291503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 2.
2024-10-10 03:15:34 - [2024-10-10 03:15:34] MonsterMonstruo 331503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 03:15:36 - [2024-10-10 03:15:36] MonsterMonstruo 341503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 03:15:38 - [2024-10-10 03:15:38] MonsterMonstruo 351503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 03:15:48 - [2024-10-10 03:15:48] MonsterMonstruo 461503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 03:15:52 - [2024-10-10 03:15:52] MonsterMonstruo 501503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 221503101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 261503101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 1.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 291503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 331503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 341503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 351503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 461503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 4.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 501503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 03:16:06 - [2024-10-10 03:16:06] MonsterMonstruo 41603101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 03:16:08 - [2024-10-10 03:16:08] MonsterMonstruo 71603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:16:12 - [2024-10-10 03:16:12] MonsterMonstruo 111603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 03:16:16 - [2024-10-10 03:16:16] MonsterMonstruo 151603101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 03:16:20 - [2024-10-10 03:16:20] MonsterMonstruo 181603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:16:22 - [2024-10-10 03:16:22] MonsterMonstruo 201603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 03:16:24 - [2024-10-10 03:16:24] MonsterMonstruo 231603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 03:16:38 - [2024-10-10 03:16:38] MonsterMonstruo 371603101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 41603101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 1.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 71603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 111603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 151603101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 181603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 201603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 231603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 371603101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 03:16:52 - [2024-10-10 03:16:52] MonsterMonstruo 401603101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 03:16:54 - [2024-10-10 03:16:54] MonsterMonstruo 501603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 03:17:07 - [2024-10-10 03:17:07] MonsterMonstruo 61703101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 03:17:13 - [2024-10-10 03:17:13] MonsterMonstruo 111703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 03:17:43 - [2024-10-10 03:17:43] MonsterMonstruo 421703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:18:01 - [2024-10-10 03:18:01] MonsterMonstruo 591703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 3.
2024-10-10 03:18:07 - [2024-10-10 03:18:07] MonsterMonstruo 51803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 03:18:09 - [2024-10-10 03:18:09] MonsterMonstruo 61803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 4.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 401603101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 501603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 61703101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 111703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 421703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 591703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 3.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 51803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 61803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 03:18:23 - [2024-10-10 03:18:23] MonsterMonstruo 111803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 1.
2024-10-10 03:18:25 - [2024-10-10 03:18:25] MonsterMonstruo 211803101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 1.
2024-10-10 03:18:27 - [2024-10-10 03:18:27] MonsterMonstruo 241803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 2.
2024-10-10 03:18:49 - [2024-10-10 03:18:49] MonsterMonstruo 481803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 2.
2024-10-10 03:18:55 - [2024-10-10 03:18:55] MonsterMonstruo 541803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 3.
2024-10-10 03:18:57 - [2024-10-10 03:18:57] MonsterMonstruo 561803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 3.
2024-10-10 03:19:05 - [2024-10-10 03:19:05] MonsterMonstruo 41903101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 03:19:09 - [2024-10-10 03:19:09] MonsterMonstruo 81903101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 4.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 111803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 1.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 211803101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 1.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 241803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 2.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 481803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 2.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 541803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 3.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 561803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica emptied from tray 3.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 41903101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 81903101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 4.
2024-10-10 03:19:23 - [2024-10-10 03:19:23] MonsterMonstruo 111903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 03:19:25 - [2024-10-10 03:19:25] MonsterMonstruo 221903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 1.
2024-10-10 03:19:31 - [2024-10-10 03:19:31] MonsterMonstruo 291903101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
