2024-10-10 03:10:23 - [2024-10-10 03:10:23] Monster Monstruo 231003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:12:40 - [2024-10-10 03:12:40] Monster Monstruo 401203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:12:41 - [2024-10-10 03:12:41] Monster Monstruo 411203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] Monster Monstruo 51203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 03:12:56 - [2024-10-10 03:12:56] Monster Monstruo 561203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:12:58 - [2024-10-10 03:12:58] Monster Monstruo 581203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:13:03 - [2024-10-10 03:13:03] Monster Monstruo 31303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:13:09 - [2024-10-10 03:13:09] Monster Monstruo 91303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:13:14 - [2024-10-10 03:13:14] Monster Monstruo 141303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:13:19 - [2024-10-10 03:13:19] Monster Monstruo 191303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] Monster Monstruo 401203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 03:13:40 - [2024-10-10 03:13:40] Monster Monstruo 401303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:13:44 - [2024-10-10 03:13:44] Monster Monstruo 441303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:13:50 - [2024-10-10 03:13:50] Monster Monstruo 501303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:13:54 - [2024-10-10 03:13:54] Monster Monstruo 541303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:13:55 - [2024-10-10 03:13:55] Monster Monstruo 551303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:14:05 - [2024-10-10 03:14:05] Monster Monstruo 51403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:14:06 - [2024-10-10 03:14:06] Monster Monstruo 61403101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:14:07 - [2024-10-10 03:14:07] Monster Monstruo 71403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:14:11 - [2024-10-10 03:14:11] Monster Monstruo 111403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] Monster Monstruo 401303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was dequeued.
2024-10-10 03:14:25 - [2024-10-10 03:14:25] Monster Monstruo 251403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:14:31 - [2024-10-10 03:14:31] Monster Monstruo 311403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:14:46 - [2024-10-10 03:14:46] Monster Monstruo 461403101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:14:47 - [2024-10-10 03:14:47] Monster Monstruo 471403101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:00 - [2024-10-10 03:15:00] Monster Monstruo 1503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:15:04 - [2024-10-10 03:15:04] Monster Monstruo 41503101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:15:06 - [2024-10-10 03:15:06] Monster Monstruo 61503101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:15:20 - [2024-10-10 03:15:20] Monster Monstruo 111403101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:15:22 - [2024-10-10 03:15:22] Monster Monstruo 221503101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:15:26 - [2024-10-10 03:15:26] Monster Monstruo 261503101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:15:29 - [2024-10-10 03:15:29] Monster Monstruo 291503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:33 - [2024-10-10 03:15:33] Monster Monstruo 331503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:34 - [2024-10-10 03:15:34] Monster Monstruo 341503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:35 - [2024-10-10 03:15:35] Monster Monstruo 351503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:46 - [2024-10-10 03:15:46] Monster Monstruo 461503101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:15:50 - [2024-10-10 03:15:50] Monster Monstruo 501503101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 221503101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:16:04 - [2024-10-10 03:16:04] Monster Monstruo 41603101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:16:07 - [2024-10-10 03:16:07] Monster Monstruo 71603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:16:11 - [2024-10-10 03:16:11] Monster Monstruo 111603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:16:15 - [2024-10-10 03:16:15] Monster Monstruo 151603101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:16:18 - [2024-10-10 03:16:18] Monster Monstruo 181603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:16:20 - [2024-10-10 03:16:20] Monster Monstruo 201603101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:16:23 - [2024-10-10 03:16:23] Monster Monstruo 231603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:16:37 - [2024-10-10 03:16:37] Monster Monstruo 371603101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:16:40 - [2024-10-10 03:16:40] Monster Monstruo 401603101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 501603101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:16:50 - [2024-10-10 03:16:50] Monster Monstruo 41603101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was dequeued.
2024-10-10 03:17:06 - [2024-10-10 03:17:06] Monster Monstruo 61703101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:17:11 - [2024-10-10 03:17:11] Monster Monstruo 111703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:17:42 - [2024-10-10 03:17:42] Monster Monstruo 421703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:17:59 - [2024-10-10 03:17:59] Monster Monstruo 591703101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:18:05 - [2024-10-10 03:18:05] Monster Monstruo 51803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:18:06 - [2024-10-10 03:18:06] Monster Monstruo 61803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:18:11 - [2024-10-10 03:18:11] Monster Monstruo 111803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 401603101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 03:18:21 - [2024-10-10 03:18:21] Monster Monstruo 211803101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:18:24 - [2024-10-10 03:18:24] Monster Monstruo 241803101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:18:48 - [2024-10-10 03:18:48] Monster Monstruo 481803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:18:54 - [2024-10-10 03:18:54] Monster Monstruo 541803101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:18:56 - [2024-10-10 03:18:56] Monster Monstruo 561803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:19:04 - [2024-10-10 03:19:04] Monster Monstruo 41903101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:19:08 - [2024-10-10 03:19:08] Monster Monstruo 81903101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:19:11 - [2024-10-10 03:19:11] Monster Monstruo 111903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:19:21 - [2024-10-10 03:19:21] Monster Monstruo 111803101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 03:19:22 - [2024-10-10 03:19:22] Monster Monstruo 221903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:19:29 - [2024-10-10 03:19:29] Monster Monstruo 291903101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:19:32 - [2024-10-10 03:19:32] Monster Monstruo 321903101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:19:34 - [2024-10-10 03:19:34] Monster Monstruo 341903101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:19:35 - [2024-10-10 03:19:35] Monster Monstruo 351903101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:19:38 - [2024-10-10 03:19:38] Monster Monstruo 381903101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:19:50 - [2024-10-10 03:19:50] Monster Monstruo 501903101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:03 - [2024-10-10 03:20:03] Monster Monstruo 111903101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was dequeued.
2024-10-10 03:20:04 - [2024-10-10 03:20:04] Monster Monstruo 42003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:20:05 - [2024-10-10 03:20:05] Monster Monstruo 52003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:20:07 - [2024-10-10 03:20:07] Monster Monstruo 72003101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:16 - [2024-10-10 03:20:16] Monster Monstruo 162003101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:25 - [2024-10-10 03:20:25] Monster Monstruo 252003101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:29 - [2024-10-10 03:20:29] Monster Monstruo 292003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:20:30 - [2024-10-10 03:20:30] Monster Monstruo 302003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:37 - [2024-10-10 03:20:37] Monster Monstruo 372003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:20:38 - [2024-10-10 03:20:38] Monster Monstruo 382003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:20:50 - [2024-10-10 03:20:50] Monster Monstruo 42003101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:20:58 - [2024-10-10 03:20:58] Monster Monstruo 582003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:21:00 - [2024-10-10 03:21:00] Monster Monstruo 2103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:21:03 - [2024-10-10 03:21:03] Monster Monstruo 32103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:21:07 - [2024-10-10 03:21:07] Monster Monstruo 72103101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:21:10 - [2024-10-10 03:21:10] Monster Monstruo 102103101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:21:13 - [2024-10-10 03:21:13] Monster Monstruo 132103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:21:22 - [2024-10-10 03:21:22] Monster Monstruo 222103101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:21:24 - [2024-10-10 03:21:24] Monster Monstruo 242103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:21:36 - [2024-10-10 03:21:36] Monster Monstruo 382003101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 03:21:37 - [2024-10-10 03:21:37] Monster Monstruo 372103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:21:38 - [2024-10-10 03:21:38] Monster Monstruo 382103101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:21:44 - [2024-10-10 03:21:44] Monster Monstruo 442103101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:21:47 - [2024-10-10 03:21:47] Monster Monstruo 472103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:21:50 - [2024-10-10 03:21:50] Monster Monstruo 502103101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:21:59 - [2024-10-10 03:21:59] Monster Monstruo 592103101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:22:02 - [2024-10-10 03:22:02] Monster Monstruo 22203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:22:16 - [2024-10-10 03:22:16] Monster Monstruo 242103101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was dequeued.
2024-10-10 03:22:16 - [2024-10-10 03:22:16] Monster Monstruo 162203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:22:17 - [2024-10-10 03:22:17] Monster Monstruo 172203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:22:23 - [2024-10-10 03:22:23] Monster Monstruo 232203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:22:24 - [2024-10-10 03:22:24] Monster Monstruo 242203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:22:25 - [2024-10-10 03:22:25] Monster Monstruo 252203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:22:26 - [2024-10-10 03:22:26] Monster Monstruo 262203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:22:29 - [2024-10-10 03:22:29] Monster Monstruo 292203101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:22:31 - [2024-10-10 03:22:31] Monster Monstruo 312203101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:22:34 - [2024-10-10 03:22:34] Monster Monstruo 342203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:22:46 - [2024-10-10 03:22:46] Monster Monstruo 162203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was dequeued.
2024-10-10 03:22:55 - [2024-10-10 03:22:55] Monster Monstruo 552203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:22:58 - [2024-10-10 03:22:58] Monster Monstruo 582203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:23:04 - [2024-10-10 03:23:04] Monster Monstruo 42303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:23:05 - [2024-10-10 03:23:05] Monster Monstruo 52303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:23:11 - [2024-10-10 03:23:11] Monster Monstruo 112303101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 03:23:14 - [2024-10-10 03:23:14] Monster Monstruo 142303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:23:20 - [2024-10-10 03:23:20] Monster Monstruo 202303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:23:32 - [2024-10-10 03:23:32] Monster Monstruo 342203101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was dequeued.
2024-10-10 03:23:39 - [2024-10-10 03:23:39] Monster Monstruo 392303101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 03:23:46 - [2024-10-10 03:23:46] Monster Monstruo 462303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:23:52 - [2024-10-10 03:23:52] Monster Monstruo 522303101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 03:23:54 - [2024-10-10 03:23:54] Monster Monstruo 542303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 03:23:56 - [2024-10-10 03:23:56] Monster Monstruo 562303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:23:57 - [2024-10-10 03:23:57] Monster Monstruo 572303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 03:23:59 - [2024-10-10 03:23:59] Monster Monstruo 592303101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 03:24:01 - [2024-10-10 03:24:01] Monster Monstruo 12403101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:46:13 - [2024-10-10 09:46:13] Monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:14 - [2024-10-10 09:46:14] Monster Monstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:20 - [2024-10-10 09:46:20] Monster Monstruo 204609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:23 - [2024-10-10 09:46:23] Monster Monstruo 234609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:46:32 - [2024-10-10 09:46:32] Monster Monstruo 324609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:38 - [2024-10-10 09:46:38] Monster Monstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:46:39 - [2024-10-10 09:46:39] Monster Monstruo 394609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:46:42 - [2024-10-10 09:46:42] Monster Monstruo 424609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:46:45 - [2024-10-10 09:46:45] Monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was dequeued.
2024-10-10 09:46:57 - [2024-10-10 09:46:57] Monster Monstruo 574609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:47:02 - [2024-10-10 09:47:02] Monster Monstruo 24709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:06 - [2024-10-10 09:47:06] Monster Monstruo 64709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:14 - [2024-10-10 09:47:14] Monster Monstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:47:15 - [2024-10-10 09:47:15] Monster Monstruo 154709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
