2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: NATALIA, Priority: No, Number: PROGRA, of 1, INTELIGENCIA, VELOCIDAD, LOCURA, 
2024-10-10 09:45:06 - [2024-10-10 09:45:06] The order: Name: ALLAN, Priority: No, Number: 2, of DESTRUCCION, 
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 234609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 2.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 324609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 394609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica emptied from tray 4.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 424609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 4.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 564609101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] Monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was dequeued.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 134609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 144609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered the garbage collector because inspector 1 discarded it.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 204609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 234609101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered storage and is available for delivery.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 324609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 384609101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered the garbage collector because inspector 1 discarded it.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 394609101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered storage and is available for delivery.
2024-10-10 09:46:56 - [2024-10-10 09:46:56] The monster Monstruo 424609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 09:46:57 - [2024-10-10 09:46:57] Monster Monstruo 574609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:46:58 - [2024-10-10 09:46:58] MonsterMonstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:46:58 - [2024-10-10 09:46:58] The monster Monstruo 584609101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:46:59 - [2024-10-10 09:46:59] The monster Monstruo 594609101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:00 - [2024-10-10 09:47:00] MonsterMonstruo 574609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:47:00 - [2024-10-10 09:47:00] The monster Monstruo 4709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:01 - [2024-10-10 09:47:01] The monster Monstruo 14709101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:02 - [2024-10-10 09:47:02] Monster Monstruo 24709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:03 - [2024-10-10 09:47:03] The monster Monstruo 34709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:04 - [2024-10-10 09:47:04] MonsterMonstruo 24709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:47:04 - [2024-10-10 09:47:04] The monster Monstruo 44709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:05 - [2024-10-10 09:47:05] The monster Monstruo 54709101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:06 - [2024-10-10 09:47:06] Monster Monstruo 64709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:07 - [2024-10-10 09:47:07] The monster Monstruo 74709101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:08 - [2024-10-10 09:47:08] MonsterMonstruo 64709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 2.
2024-10-10 09:47:08 - [2024-10-10 09:47:08] The monster Monstruo 84709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:09 - [2024-10-10 09:47:09] The monster Monstruo 94709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:10 - [2024-10-10 09:47:10] The monster Monstruo 104709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:11 - [2024-10-10 09:47:11] The monster Monstruo 114709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:13 - [2024-10-10 09:47:13] The monster Monstruo 134709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:14 - [2024-10-10 09:47:14] Monster Monstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:47:14 - [2024-10-10 09:47:14] MonsterMonstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 3.
2024-10-10 09:47:15 - [2024-10-10 09:47:15] Monster Monstruo 154709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:16 - [2024-10-10 09:47:16] Monster Monstruo 164709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:16 - [2024-10-10 09:47:16] MonsterMonstruo 154709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 3.
2024-10-10 09:47:17 - [2024-10-10 09:47:17] Monster Monstruo 174709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:18 - [2024-10-10 09:47:18] The monster Monstruo 184709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:18 - [2024-10-10 09:47:18] MonsterMonstruo 164709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 4.
2024-10-10 09:47:19 - [2024-10-10 09:47:19] The monster Monstruo 194709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:20 - [2024-10-10 09:47:20] The monster Monstruo 204709101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:20 - [2024-10-10 09:47:20] MonsterMonstruo 174709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 4.
2024-10-10 09:47:21 - [2024-10-10 09:47:21] The monster Monstruo 214709101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:22 - [2024-10-10 09:47:22] Monster Monstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 574609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 24709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 2.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 64709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 2.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica emptied from tray 3.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 154709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 3.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 164709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 4.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 174709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada emptied from tray 4.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] Monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was dequeued.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 454609101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 574609101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 24709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 64709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 144709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered the garbage collector because inspector 1 discarded it.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 154709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 164709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 174709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada entered storage and is available for delivery.
2024-10-10 09:47:32 - [2024-10-10 09:47:32] The monster Monstruo 324709101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:34 - [2024-10-10 09:47:34] The monster Monstruo 344709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:34 - [2024-10-10 09:47:34] MonsterMonstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 1.
2024-10-10 09:47:35 - [2024-10-10 09:47:35] Monster Monstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta was enqueued.
2024-10-10 09:47:36 - [2024-10-10 09:47:36] Monster Monstruo 364709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada was enqueued.
2024-10-10 09:47:36 - [2024-10-10 09:47:36] MonsterMonstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta added to tray 1.
2024-10-10 09:47:37 - [2024-10-10 09:47:37] The monster Monstruo 374709101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:38 - [2024-10-10 09:47:38] Monster Monstruo 384709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica was enqueued.
2024-10-10 09:47:38 - [2024-10-10 09:47:38] MonsterMonstruo 364709101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada added to tray 2.
2024-10-10 09:47:39 - [2024-10-10 09:47:39] The monster Monstruo 394709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:40 - [2024-10-10 09:47:40] The monster Monstruo 404709101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:40 - [2024-10-10 09:47:40] MonsterMonstruo 384709101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica added to tray 2.
2024-10-10 09:47:41 - [2024-10-10 09:47:41] The monster Monstruo 414709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:42 - [2024-10-10 09:47:42] The monster Monstruo 424709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:43 - [2024-10-10 09:47:43] The monster Monstruo 434709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:44 - [2024-10-10 09:47:44] The monster Monstruo 444709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:45 - [2024-10-10 09:47:45] The monster Monstruo 454709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:46 - [2024-10-10 09:47:46] The monster Monstruo 464709101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:47 - [2024-10-10 09:47:47] The monster Monstruo 474709101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:48 - [2024-10-10 09:47:48] The monster Monstruo 484709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:49 - [2024-10-10 09:47:49] The monster Monstruo 494709101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:50 - [2024-10-10 09:47:50] Monster Monstruo 504709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:47:51 - [2024-10-10 09:47:51] MonsterMonstruo 504709101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 3.
2024-10-10 09:47:51 - [2024-10-10 09:47:51] The monster Monstruo 514709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:52 - [2024-10-10 09:47:52] The monster Monstruo 524709101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:53 - [2024-10-10 09:47:53] The monster Monstruo 534709101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:54 - [2024-10-10 09:47:54] The monster Monstruo 544709101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:47:55 - [2024-10-10 09:47:55] The monster Monstruo 554709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:47:56 - [2024-10-10 09:47:56] Monster Monstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada was enqueued.
2024-10-10 09:47:57 - [2024-10-10 09:47:57] MonsterMonstruo 564709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada added to tray 3.
2024-10-10 09:47:57 - [2024-10-10 09:47:57] The monster Monstruo 574709101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:58 - [2024-10-10 09:47:58] The monster Monstruo 584709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:47:59 - [2024-10-10 09:47:59] The monster Monstruo 594709101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:48:00 - [2024-10-10 09:48:00] The monster Monstruo 4809101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:48:01 - [2024-10-10 09:48:01] Monster Monstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica was enqueued.
2024-10-10 09:48:02 - [2024-10-10 09:48:02] The monster Monstruo 24809101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered the garbage collector because it was GOOD.
2024-10-10 09:48:03 - [2024-10-10 09:48:03] MonsterMonstruo 14809101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica added to tray 4.
2024-10-10 09:48:03 - [2024-10-10 09:48:03] The monster Monstruo 34809101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered the garbage collector because it was GOOD.
2024-10-10 09:48:04 - [2024-10-10 09:48:04] Monster Monstruo 44809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica was enqueued.
2024-10-10 09:48:05 - [2024-10-10 09:48:05] MonsterMonstruo 44809101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica added to tray 4.
2024-10-10 09:48:05 - [2024-10-10 09:48:05] The monster Monstruo 54809101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:48:06 - [2024-10-10 09:48:06] The monster Monstruo 64809101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered the garbage collector because it was GOOD.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 224709101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada emptied from tray 1.
2024-10-10 09:48:17 - [2024-10-10 09:48:17] Monster Monstruo 354709101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta emptied from tray 1.
