2024-10-10 03:10:26 - [2024-10-10 03:10:26] The monster Monstruo 261003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:10:48 - [2024-10-10 03:10:48] The monster Monstruo 481003101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:10:49 - [2024-10-10 03:10:49] The monster Monstruo 491003101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:10:50 - [2024-10-10 03:10:50] The monster Monstruo 501003101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:10:51 - [2024-10-10 03:10:51] The monster Monstruo 511003101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:10:52 - [2024-10-10 03:10:52] The monster Monstruo 521003101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:10:53 - [2024-10-10 03:10:53] The monster Monstruo 531003101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:10:54 - [2024-10-10 03:10:54] The monster Monstruo 541003101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:10:55 - [2024-10-10 03:10:55] The monster Monstruo 551003101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:10:56 - [2024-10-10 03:10:56] The monster Monstruo 561003101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:10:58 - [2024-10-10 03:10:58] The monster Monstruo 581003101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:10:59 - [2024-10-10 03:10:59] The monster Monstruo 591003101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:00 - [2024-10-10 03:11:00] The monster Monstruo 1103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 111103101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 341003101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta entered because inspector 1 discarded it.
2024-10-10 03:11:11 - [2024-10-10 03:11:11] The monster Monstruo 571003101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered because inspector 2 discarded it.
2024-10-10 03:11:12 - [2024-10-10 03:11:12] The monster Monstruo 121103101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:13 - [2024-10-10 03:11:13] The monster Monstruo 131103101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:14 - [2024-10-10 03:11:14] The monster Monstruo 141103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:15 - [2024-10-10 03:11:15] The monster Monstruo 151103101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:11:16 - [2024-10-10 03:11:16] The monster Monstruo 161103101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:18 - [2024-10-10 03:11:18] The monster Monstruo 181103101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:19 - [2024-10-10 03:11:19] The monster Monstruo 191103101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:11:20 - [2024-10-10 03:11:20] The monster Monstruo 201103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:11:21 - [2024-10-10 03:11:21] The monster Monstruo 211103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:11:22 - [2024-10-10 03:11:22] The monster Monstruo 221103101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:23 - [2024-10-10 03:11:23] The monster Monstruo 231103101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:11:24 - [2024-10-10 03:11:24] The monster Monstruo 241103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:25 - [2024-10-10 03:11:25] The monster Monstruo 251103101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:11:26 - [2024-10-10 03:11:26] The monster Monstruo 261103101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:11:27 - [2024-10-10 03:11:27] The monster Monstruo 271103101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:28 - [2024-10-10 03:11:28] The monster Monstruo 281103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:11:29 - [2024-10-10 03:11:29] The monster Monstruo 291103101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:11:30 - [2024-10-10 03:11:30] The monster Monstruo 301103101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:11:31 - [2024-10-10 03:11:31] The monster Monstruo 311103101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:32 - [2024-10-10 03:11:32] The monster Monstruo 321103101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:11:34 - [2024-10-10 03:11:34] The monster Monstruo 341103101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:35 - [2024-10-10 03:11:35] The monster Monstruo 351103101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:37 - [2024-10-10 03:11:37] The monster Monstruo 371103101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:11:39 - [2024-10-10 03:11:39] The monster Monstruo 391103101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:41 - [2024-10-10 03:11:41] The monster Monstruo 411103101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:42 - [2024-10-10 03:11:42] The monster Monstruo 421103101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:43 - [2024-10-10 03:11:43] The monster Monstruo 431103101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:11:44 - [2024-10-10 03:11:44] The monster Monstruo 441103101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:45 - [2024-10-10 03:11:45] The monster Monstruo 451103101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:11:46 - [2024-10-10 03:11:46] The monster Monstruo 461103101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:11:49 - [2024-10-10 03:11:49] The monster Monstruo 491103101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:11:50 - [2024-10-10 03:11:50] The monster Monstruo 501103101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:11:51 - [2024-10-10 03:11:51] The monster Monstruo 511103101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 03:11:53 - [2024-10-10 03:11:53] The monster Monstruo 531103101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:11:54 - [2024-10-10 03:11:54] The monster Monstruo 541103101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:12:05 - [2024-10-10 03:12:05] The monster Monstruo 481103101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica entered because inspector 2 discarded it.
2024-10-10 03:12:07 - [2024-10-10 03:12:07] The monster Monstruo 71203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:12:10 - [2024-10-10 03:12:10] The monster Monstruo 101203101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:12:11 - [2024-10-10 03:12:11] The monster Monstruo 111203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:13 - [2024-10-10 03:12:13] The monster Monstruo 131203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:12:14 - [2024-10-10 03:12:14] The monster Monstruo 141203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:15 - [2024-10-10 03:12:15] The monster Monstruo 151203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:16 - [2024-10-10 03:12:16] The monster Monstruo 161203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:12:17 - [2024-10-10 03:12:17] The monster Monstruo 171203101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:12:18 - [2024-10-10 03:12:18] The monster Monstruo 181203101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:12:19 - [2024-10-10 03:12:19] The monster Monstruo 191203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:12:20 - [2024-10-10 03:12:20] The monster Monstruo 201203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:12:21 - [2024-10-10 03:12:21] The monster Monstruo 211203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:22 - [2024-10-10 03:12:22] The monster Monstruo 221203101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:23 - [2024-10-10 03:12:23] The monster Monstruo 231203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:12:24 - [2024-10-10 03:12:24] The monster Monstruo 241203101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:26 - [2024-10-10 03:12:26] The monster Monstruo 261203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:27 - [2024-10-10 03:12:27] The monster Monstruo 271203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:28 - [2024-10-10 03:12:28] The monster Monstruo 281203101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:12:29 - [2024-10-10 03:12:29] The monster Monstruo 291203101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:12:30 - [2024-10-10 03:12:30] The monster Monstruo 301203101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:12:31 - [2024-10-10 03:12:31] The monster Monstruo 311203101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:12:32 - [2024-10-10 03:12:32] The monster Monstruo 321203101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:12:34 - [2024-10-10 03:12:34] The monster Monstruo 341203101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:12:36 - [2024-10-10 03:12:36] The monster Monstruo 361203101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:12:37 - [2024-10-10 03:12:37] The monster Monstruo 371203101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:12:38 - [2024-10-10 03:12:38] The monster Monstruo 381203101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 61203101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered because inspector 1 discarded it.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 81203101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada entered because inspector 1 discarded it.
2024-10-10 03:12:51 - [2024-10-10 03:12:51] The monster Monstruo 511203101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:52 - [2024-10-10 03:12:52] The monster Monstruo 521203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:12:53 - [2024-10-10 03:12:53] The monster Monstruo 531203101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:54 - [2024-10-10 03:12:54] The monster Monstruo 541203101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:12:55 - [2024-10-10 03:12:55] The monster Monstruo 551203101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:12:57 - [2024-10-10 03:12:57] The monster Monstruo 571203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:12:59 - [2024-10-10 03:12:59] The monster Monstruo 591203101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:01 - [2024-10-10 03:13:01] The monster Monstruo 11303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:02 - [2024-10-10 03:13:02] The monster Monstruo 21303101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:13:04 - [2024-10-10 03:13:04] The monster Monstruo 41303101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:13:05 - [2024-10-10 03:13:05] The monster Monstruo 51303101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:06 - [2024-10-10 03:13:06] The monster Monstruo 61303101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:07 - [2024-10-10 03:13:07] The monster Monstruo 71303101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:13:08 - [2024-10-10 03:13:08] The monster Monstruo 81303101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:10 - [2024-10-10 03:13:10] The monster Monstruo 101303101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:11 - [2024-10-10 03:13:11] The monster Monstruo 111303101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:13:12 - [2024-10-10 03:13:12] The monster Monstruo 121303101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 03:13:13 - [2024-10-10 03:13:13] The monster Monstruo 131303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:15 - [2024-10-10 03:13:15] The monster Monstruo 151303101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:16 - [2024-10-10 03:13:16] The monster Monstruo 161303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:17 - [2024-10-10 03:13:17] The monster Monstruo 171303101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:18 - [2024-10-10 03:13:18] The monster Monstruo 181303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:20 - [2024-10-10 03:13:20] The monster Monstruo 201303101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:13:21 - [2024-10-10 03:13:21] The monster Monstruo 211303101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 191303101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica entered because inspector 2 discarded it.
2024-10-10 03:13:32 - [2024-10-10 03:13:32] The monster Monstruo 321303101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:13:33 - [2024-10-10 03:13:33] The monster Monstruo 331303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:34 - [2024-10-10 03:13:34] The monster Monstruo 341303101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:13:35 - [2024-10-10 03:13:35] The monster Monstruo 351303101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:36 - [2024-10-10 03:13:36] The monster Monstruo 361303101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:13:37 - [2024-10-10 03:13:37] The monster Monstruo 371303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:38 - [2024-10-10 03:13:38] The monster Monstruo 381303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:39 - [2024-10-10 03:13:39] The monster Monstruo 391303101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:13:41 - [2024-10-10 03:13:41] The monster Monstruo 411303101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:13:42 - [2024-10-10 03:13:42] The monster Monstruo 421303101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:13:43 - [2024-10-10 03:13:43] The monster Monstruo 431303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:13:45 - [2024-10-10 03:13:45] The monster Monstruo 451303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:13:46 - [2024-10-10 03:13:46] The monster Monstruo 461303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:47 - [2024-10-10 03:13:47] The monster Monstruo 471303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:48 - [2024-10-10 03:13:48] The monster Monstruo 481303101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Caótica entered because it was GOOD.
2024-10-10 03:13:49 - [2024-10-10 03:13:49] The monster Monstruo 491303101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:13:51 - [2024-10-10 03:13:51] The monster Monstruo 511303101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:13:52 - [2024-10-10 03:13:52] The monster Monstruo 521303101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Caótica entered because it was GOOD.
2024-10-10 03:13:53 - [2024-10-10 03:13:53] The monster Monstruo 531303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:56 - [2024-10-10 03:13:56] The monster Monstruo 561303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:13:57 - [2024-10-10 03:13:57] The monster Monstruo 571303101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:13:58 - [2024-10-10 03:13:58] The monster Monstruo 581303101024 , Tipo: BUENO , Combinación Oscura, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:13:59 - [2024-10-10 03:13:59] The monster Monstruo 591303101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:14:00 - [2024-10-10 03:14:00] The monster Monstruo 1403101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:14:01 - [2024-10-10 03:14:01] The monster Monstruo 11403101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:14:02 - [2024-10-10 03:14:02] The monster Monstruo 21403101024 , Tipo: BUENO , Combinación Cósmica, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:14:03 - [2024-10-10 03:14:03] The monster Monstruo 31403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:14:04 - [2024-10-10 03:14:04] The monster Monstruo 41403101024 , Tipo: BUENO , Combinación Oscura, Orgánico, Astuta entered because it was GOOD.
2024-10-10 03:14:08 - [2024-10-10 03:14:08] The monster Monstruo 81403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:09 - [2024-10-10 03:14:09] The monster Monstruo 91403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Caótica entered because it was GOOD.
2024-10-10 03:14:10 - [2024-10-10 03:14:10] The monster Monstruo 101403101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Despiadada entered because it was GOOD.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 501303101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica entered because inspector 1 discarded it.
2024-10-10 03:14:22 - [2024-10-10 03:14:22] The monster Monstruo 221403101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:14:23 - [2024-10-10 03:14:23] The monster Monstruo 231403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:24 - [2024-10-10 03:14:24] The monster Monstruo 241403101024 , Tipo: BUENO , Combinación Elemental, Orgánico, Despiadada entered because it was GOOD.
2024-10-10 03:14:26 - [2024-10-10 03:14:26] The monster Monstruo 261403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Astuta entered because it was GOOD.
2024-10-10 03:14:27 - [2024-10-10 03:14:27] The monster Monstruo 271403101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:14:28 - [2024-10-10 03:14:28] The monster Monstruo 281403101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:29 - [2024-10-10 03:14:29] The monster Monstruo 291403101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:14:30 - [2024-10-10 03:14:30] The monster Monstruo 301403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:32 - [2024-10-10 03:14:32] The monster Monstruo 321403101024 , Tipo: BUENO , Combinación Elemental, Radioactivo, Astuta entered because it was GOOD.
2024-10-10 03:14:33 - [2024-10-10 03:14:33] The monster Monstruo 331403101024 , Tipo: BUENO , Combinación Elemental, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:34 - [2024-10-10 03:14:34] The monster Monstruo 341403101024 , Tipo: BUENO , Combinación Oscura, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:35 - [2024-10-10 03:14:35] The monster Monstruo 351403101024 , Tipo: BUENO , Combinación Cósmica, Metálico, Despiadada entered because it was GOOD.
2024-10-10 03:14:36 - [2024-10-10 03:14:36] The monster Monstruo 361403101024 , Tipo: BUENO , Combinación Cósmica, Radioactivo, Astuta entered because it was GOOD.
