2024-10-10 02:32:26 - [2024-10-10 02:32:26] The monster Monstruo 503102101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:23:14 - [2024-10-10 10:23:14] The monster Monstruo 442210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 10:23:14 - [2024-10-10 10:23:14] The monster Monstruo 502210101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 10:25:19 - [2024-10-10 10:25:19] The monster Monstruo 52510101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:26:11 - [2024-10-10 10:26:11] The monster Monstruo 302510101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 92810101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 10:28:50 - [2024-10-10 10:28:50] The monster Monstruo 182810101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 392810101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 522810101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 12910101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:29:32 - [2024-10-10 10:29:32] The monster Monstruo 132910101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 10:30:16 - [2024-10-10 10:30:16] The monster Monstruo 342910101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 10:30:16 - [2024-10-10 10:30:16] The monster Monstruo 452910101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:44:03 - [2024-10-10 10:44:03] The monster Monstruo 474310101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 10:52:20 - [2024-10-10 10:52:20] The monster Monstruo 335110101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 10:54:50 - [2024-10-10 10:54:50] The monster Monstruo 445210101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:56:25 - [2024-10-10 10:56:25] The monster Monstruo 275510101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 10:59:46 - [2024-10-10 10:59:46] The monster Monstruo 175910101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 11:01:45 - [2024-10-10 11:01:45] The monster Monstruo 320111101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 11:05:21 - [2024-10-10 11:05:21] The monster Monstruo 440411101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:15:20 - [2024-10-10 11:15:20] The monster Monstruo 561411101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:24:16 - [2024-10-10 11:24:16] The monster Monstruo 502311101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:30:49 - [2024-10-10 11:30:49] The monster Monstruo 223011101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:41:23 - [2024-10-10 11:41:23] The monster Monstruo 4111101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 11:44:06 - [2024-10-10 11:44:06] The monster Monstruo 414311101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:48:16 - [2024-10-10 11:48:16] The monster Monstruo 264711101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:48:48 - [2024-10-10 11:48:48] The monster Monstruo 304811101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 11:51:37 - [2024-10-10 11:51:37] The monster Monstruo 135111101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 11:51:37 - [2024-10-10 11:51:37] The monster Monstruo 145111101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 11:51:37 - [2024-10-10 11:51:37] The monster Monstruo 155111101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 11:56:41 - [2024-10-10 11:56:41] The monster Monstruo 585511101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:01:47 - [2024-10-10 12:01:47] The monster Monstruo 70112101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:01:47 - [2024-10-10 12:01:47] The monster Monstruo 220112101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:06:35 - [2024-10-10 12:06:35] The monster Monstruo 10612101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:06:35 - [2024-10-10 12:06:35] The monster Monstruo 140612101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:09:11 - [2024-10-10 12:09:11] The monster Monstruo 380812101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:09:35 - [2024-10-10 12:09:35] The monster Monstruo 180912101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:09:59 - [2024-10-10 12:09:59] The monster Monstruo 390912101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:09:59 - [2024-10-10 12:09:59] The monster Monstruo 420912101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 12:11:14 - [2024-10-10 12:11:14] The monster Monstruo 551012101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 12:12:30 - [2024-10-10 12:12:30] The monster Monstruo 171212101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 321212101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 401212101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 431212101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 441212101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 471212101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:13:02 - [2024-10-10 12:13:02] The monster Monstruo 481212101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 511212101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 21312101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 41312101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 81312101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 91312101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:26 - [2024-10-10 12:13:26] The monster Monstruo 111312101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 121312101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 261312101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 281312101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 321312101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 371312101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 12:13:52 - [2024-10-10 12:13:52] The monster Monstruo 391312101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 401312101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 541312101024 , Tipo: VELOCIDAD , Combinación Elemental, Orgánico, Caótica has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 581312101024 , Tipo: REGENERACION , Combinación Oscura, Orgánico, Despiadada has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 141412101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 151412101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:14:31 - [2024-10-10 12:14:31] The monster Monstruo 171412101024 , Tipo: VENENO , Combinación Oscura, Radioactivo, Despiadada has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 201412101024 , Tipo: DESTRUCCION , Combinación Elemental, Radioactivo, Caótica has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 321412101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 331412101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 451412101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 481412101024 , Tipo: LOCURA , Combinación Cósmica, Radioactivo, Caótica has been discarded.
2024-10-10 12:15:03 - [2024-10-10 12:15:03] The monster Monstruo 501412101024 , Tipo: INTELIGENCIA , Combinación Cósmica, Orgánico, Astuta has been discarded.
